Geracoes,Tamanho da Populacao,Dimensoes,Fator Cognitivo,Fator Social,Fator de Diversificacao,Melhor Aptidao,Geracao Encontrada,Aptidao Media
200,200,2,1,1,0.4,0.0219501,37,3.53824
200,200,2,1,1,0.7,0.0261974,165,4.84263
200,200,2,1,1,0.9,0.0702759,123,5.35203
200,200,2,1,1.5,0.4,0.00837161,90,2.91004
200,200,2,1,1.5,0.7,0.00688925,85,3.81668
200,200,2,1,1.5,0.9,-8.25484e-08,78,4.51308
200,200,2,1,2,0.4,0.00437651,169,3.01493
200,200,2,1,2,0.7,0.00077295,117,3.82347
200,200,2,1,2,0.9,-8.25484e-08,121,4.15221
200,200,2,1,2.5,0.4,0.0031507,186,3.09934
200,200,2,1,2.5,0.7,-8.25484e-08,9,3.96243
200,200,2,1,2.5,0.9,-8.25484e-08,65,4.5482
200,200,2,1,3.5,0.4,0.00703174,62,3.88498
200,200,2,1,3.5,0.7,0.00883919,75,4.47336
200,200,2,1,3.5,0.9,-8.25484e-08,111,4.58053
200,200,2,1.5,1,0.4,0.00336061,134,3.10707
200,200,2,1.5,1,0.7,0.00953003,182,4.11799
200,200,2,1.5,1,0.9,-8.25484e-08,148,4.85766
200,200,2,1.5,1.5,0.4,0.00206478,78,2.8353
200,200,2,1.5,1.5,0.7,0.00159031,183,3.8135
200,200,2,1.5,1.5,0.9,-8.25484e-08,163,4.32836
200,200,2,1.5,2,0.4,0.00250446,72,3.00976
200,200,2,1.5,2,0.7,0.00389011,174,3.68837
200,200,2,1.5,2,0.9,-8.25484e-08,194,4.23094
200,200,2,1.5,2.5,0.4,0.0110112,151,3.32435
200,200,2,1.5,2.5,0.7,-8.25484e-08,6,4.09793
200,200,2,1.5,2.5,0.9,-8.25484e-08,161,4.38379
200,200,2,1.5,3.5,0.4,0.0267676,120,4.10148
200,200,2,1.5,3.5,0.7,0.0162446,42,4.63951
200,200,2,1.5,3.5,0.9,-8.25484e-08,107,4.83409
200,200,2,2,1,0.4,0.00681668,18,2.82592
200,200,2,2,1,0.7,0.00292255,194,3.69404
200,200,2,2,1,0.9,-8.25484e-08,161,4.62304
200,200,2,2,1.5,0.4,0.00195748,106,2.96695
200,200,2,2,1.5,0.7,0.00296491,140,3.81376
200,200,2,2,1.5,0.9,-8.25484e-08,85,4.30336
200,200,2,2,2,0.4,0.00621318,14,3.48244
200,200,2,2,2,0.7,0.0129887,191,4.03295
200,200,2,2,2,0.9,-8.25484e-08,78,4.18528
200,200,2,2,2.5,0.4,0.0238826,131,3.92533
200,200,2,2,2.5,0.7,-8.25484e-08,11,4.21501
200,200,2,2,2.5,0.9,-8.25484e-08,141,4.68768
200,200,2,2,3.5,0.4,0.0287244,173,4.43342
200,200,2,2,3.5,0.7,0.0293443,156,4.7271
200,200,2,2,3.5,0.9,0.00477114,20,4.96125
