Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200,Individuo 201,Individuo 202,Individuo 203,Individuo 204,Individuo 205,Individuo 206,Individuo 207,Individuo 208,Individuo 209,Individuo 210,Individuo 211,Individuo 212,Individuo 213,Individuo 214,Individuo 215,Individuo 216,Individuo 217,Individuo 218,Individuo 219,Individuo 220,Individuo 221,Individuo 222,Individuo 223,Individuo 224,Individuo 225
0,3.01983,4.4432,4.06661,6.33788,5.39064,6.61652,6.2237,7.74619,5.55894,3.36801,5.09949,6.26088,2.64048,3.52483,7.72219,4.54424,5.13588,5.31664,6.03698,5.77462,6.28295,3.80325,2.95838,3.37432,7.085,6.47306,1.70525,5.84097,6.72659,6.8265,6.13825,3.73835,7.43448,5.11084,5.65067,4.51756,4.49734,4.07353,6.08347,6.59533,4.63899,5.52372,5.22978,2.81708,7.33291,1.13283,3.6427,4.66769,4.5235,0.988736,6.00115,4.38573,4.4472,4.04605,6.71567,7.4126,6.18633,3.46795,4.43092,5.47819,5.892,4.70417,6.24653,7.60662,6.61865,5.86521,6.43596,7.25719,3.24882,4.39973,5.9921,7.20818,7.5265,5.36387,6.17722,6.13926,6.04424,3.48874,2.95367,7.60341,7.37946,3.47378,6.4678,6.50016,6.40111,6.35604,6.28607,6.67807,4.50936,4.48392,4.03294,5.68252,5.1372,4.29674,5.42137,2.71119,5.61723,3.70965,6.05888,3.6392,4.59039,4.14303,3.89694,5.72931,3.35805,5.83794,4.20709,2.9831,5.67127,5.73348,2.79134,7.64651,3.03335,5.05654,3.88376,6.03048,7.3036,6.71021,7.18351,5.60056,5.37469,7.4543,5.35746,7.36384,5.12824,4.95974,3.80491,7.72324,5.83462,4.07545,5.37387,5.87977,3.97284,6.49889,3.80408,3.27144,6.29673,7.62448,5.8388,6.20412,6.55086,4.59223,5.72496,5.51505,6.96586,6.14277,3.26647,4.50396,5.35171,6.26412,5.64773,4.44046,5.71068,5.9542,7.44855,6.20764,6.25207,3.67706,5.71685,5.69058,5.02776,5.16026,6.05191,3.19889,4.25356,6.03788,6.08188,6.56364,3.42329,3.74456,5.07813,5.84187,6.47257,5.91562,6.87823,3.7323,4.52171,6.38861,4.35075,6.43014,5.90719,6.30221,7.63686,5.40621,6.35177,4.13928,3.77064,4.12963,3.60513,6.02247,3.55558,4.30269,5.59957,4.75559,5.92149,6.42632,3.55354,4.51518,5.69658,5.57672,5.2256,3.37328,4.5783,5.59763,3.26772,5.15321,4.73222,3.96846,2.61103,5.8905,5.79855,5.40319,4.57424,5.71869,4.81226,2.15948,6.40765,4.33047,6.56235,4.23616,2.90681,6.94645,6.13597,6.37671,4.62521
1,2.86598,4.33508,4.02025,6.17525,5.32821,6.5494,6.2237,7.67045,5.33769,3.17573,4.82919,6.26088,2.29078,3.45103,7.72219,4.46309,4.85345,5.05962,5.91853,5.77462,6.09519,3.80325,2.95838,3.05795,6.9206,6.38154,1.3051,5.84097,6.56562,6.52501,6.13825,3.73835,7.24217,4.73536,5.65067,4.51756,4.49734,3.93112,5.85865,6.59533,4.36858,5.52372,4.78377,2.70138,7.33291,1.11389,3.61201,4.35878,4.43567,0.988736,5.77431,4.38573,4.29709,3.80576,6.42036,7.27084,5.95913,3.29029,4.30843,5.47819,5.80565,4.6077,6.24653,7.50608,6.55118,5.57004,6.43596,7.08321,3.24882,4.01093,5.75181,7.20818,7.43393,5.15196,6.17722,6.13926,5.83892,3.30426,2.95367,7.52596,7.2234,3.18341,6.4678,6.37293,6.28546,6.29929,6.28607,6.59683,4.50936,4.38759,3.78596,5.65353,4.68114,4.12517,5.25597,2.44416,5.44601,3.43672,6.04522,3.59923,4.56764,4.01224,3.7306,5.41601,3.35805,5.83794,4.04394,2.78443,5.65639,5.31826,2.25795,7.51461,2.74883,4.86097,3.52912,5.91088,7.3036,6.4711,7.04248,5.60056,4.93427,7.26718,4.96561,7.19445,4.95735,4.51474,3.38864,7.69675,5.7447,3.84072,5.2163,5.79515,3.97284,6.36534,3.59742,3.24633,6.29673,7.62448,5.8388,6.05027,6.44181,4.15267,5.5644,5.1828,6.96586,6.04778,3.26647,4.50396,5.11333,6.26262,5.64773,4.3362,5.58623,5.79599,7.3112,6.00565,6.11794,3.67706,5.71685,5.69058,4.49065,5.16026,6.05191,2.96684,4.25356,5.99378,5.9408,6.47642,3.41404,3.74456,4.61515,5.55028,6.33998,5.88431,6.87823,3.7323,4.44948,6.38861,4.18304,6.43014,5.75563,6.26975,7.63686,5.18972,6.35177,3.74954,3.64235,3.92535,3.60513,6.02247,3.42622,3.90105,5.38465,4.47892,5.40529,6.42632,3.469,4.43876,5.69658,5.57672,5.2256,3.30672,4.04163,5.38083,2.98002,4.70797,4.49006,3.41595,2.61103,5.82422,5.24243,5.40319,4.48981,5.16816,4.37703,1.77664,6.32044,4.33047,6.48976,3.80382,2.69646,6.62832,5.98918,6.31138,4.47726
2,2.64022,4.20472,3.93137,6.03315,5.1617,6.43926,6.2237,7.55136,5.06411,3.09444,4.5411,6.15939,1.82186,3.31691,7.64035,4.31625,4.5261,4.70738,5.82251,5.77462,5.87512,3.65098,2.95838,2.83825,6.73259,6.26347,0.908689,5.68898,6.39975,6.16482,6.13825,3.73835,7.0021,4.39281,5.65067,4.497,4.49734,3.67238,5.57594,6.59533,3.88881,5.52372,4.44381,2.70138,7.33291,0.695394,3.50394,4.05026,4.43567,0.921885,5.58179,4.38573,4.10815,3.51435,6.08038,7.12765,5.73363,2.88771,4.22137,5.47819,5.70503,4.51734,6.24653,7.36936,6.46013,5.32599,6.43596,6.89789,3.17683,3.67528,5.53886,7.20818,7.32044,4.92113,6.17722,6.13926,5.69056,3.14751,2.95367,7.4317,7.22005,2.85328,6.41549,6.20906,6.13273,6.24161,6.26372,6.5058,4.50936,4.27126,3.56532,5.58231,4.17235,3.95782,5.02767,2.11351,5.24106,3.26803,6.02405,3.59923,4.52254,3.78746,3.424,5.02457,3.31972,5.83794,3.85292,2.69481,5.65639,4.90382,1.94218,7.36632,2.65034,4.65935,3.25494,5.76701,7.3036,6.20862,6.89399,5.60056,4.55534,7.03372,4.63896,7.03241,4.8315,4.10176,3.31609,7.59318,5.7447,3.58768,5.05918,5.72024,3.97284,6.19676,3.25601,3.17374,6.29673,7.62448,5.8388,5.83823,6.28979,3.70411,5.32622,4.77546,6.96586,5.93509,3.26647,4.50396,4.8495,6.22356,5.64773,4.20502,5.54066,5.60733,7.14135,5.86718,5.97969,3.67706,5.71685,5.69058,4.06148,5.16026,6.05191,2.89722,4.25356,5.78444,5.79579,6.35578,3.41404,3.74456,4.10575,5.19669,6.18604,5.80373,6.87823,3.7323,4.34345,6.38861,3.97763,6.43014,5.59098,6.22755,7.63686,4.93108,6.35177,3.4015,3.34785,3.8017,3.60513,6.02247,3.29595,3.54945,5.01542,4.1998,4.85357,6.42632,3.31028,4.33038,5.69658,5.57672,5.2256,3.10347,3.69056,5.21869,2.83392,4.18088,4.34414,2.99258,2.61103,5.79389,4.65767,5.40319,4.37186,4.60559,3.95285,1.22322,6.16802,4.33047,6.40201,3.64673,2.35832,6.22455,5.82994,6.20411,4.28548
3,2.35815,4.05189,3.80716,5.91461,4.99034,6.29209,6.2237,7.3938,4.63142,2.93314,4.20147,6.06685,1.31094,3.15335,7.51577,4.13025,4.2018,4.35185,5.82251,5.77462,5.58286,3.50279,2.95838,2.80196,6.56618,6.11859,0.64501,5.64276,6.23039,5.74899,6.13825,3.73835,6.69946,4.33489,5.65067,4.3984,4.43845,3.35502,5.21705,6.59533,3.42616,5.52372,4.01214,2.70138,7.33291,0.494737,3.34224,3.76559,4.43567,0.644741,5.29895,4.38573,3.87886,3.2697,5.70493,6.98301,5.51861,2.63095,4.07487,5.47819,5.6584,4.39705,6.24653,7.19737,6.35691,4.89194,6.43596,6.74834,3.02845,3.59321,5.24082,7.20818,7.18519,4.70195,6.17722,6.13926,5.41277,3.0611,2.95367,7.38725,7.05628,2.33779,6.29703,6.04995,5.94196,6.19599,6.17203,6.40273,4.47644,4.12058,3.30981,5.46428,3.72482,3.79594,4.74661,1.91913,4.96051,2.8522,5.89015,3.59923,4.44881,3.52232,3.04823,4.61817,3.23982,5.83794,3.79572,2.41513,5.65639,4.63701,1.54698,7.15845,2.65034,4.45587,3.12228,5.59544,7.3036,5.93,6.73823,5.60056,4.27015,6.73997,4.41977,6.88006,4.74407,3.70041,3.07571,7.45019,5.73854,3.36671,4.90233,5.68316,3.97284,5.98942,2.83423,3.05513,6.29673,7.62448,5.8388,5.63931,6.09949,3.30565,5.16058,4.29555,6.96586,5.80308,3.26647,4.50396,4.57831,6.15267,5.64773,4.04908,5.54066,5.38714,6.93782,5.60466,5.87975,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,5.52793,5.64602,6.20705,3.41404,3.74456,3.72813,4.79165,5.98777,5.80062,6.87823,3.7323,4.2054,6.38861,3.80002,6.43014,5.40404,6.16686,7.59138,4.62578,6.3038,3.028,3.00274,3.5096,3.60513,6.02247,3.1111,3.18137,4.56679,3.9346,4.34418,6.42632,3.20011,4.19135,5.69658,5.57672,5.2256,2.94259,3.59154,5.18057,2.74254,3.61393,4.17125,2.743,2.61103,5.66157,4.13781,5.40319,4.2044,4.12449,3.50313,1.07073,5.99629,4.33047,6.25483,3.64673,1.97155,5.88784,5.75705,6.05991,4.09951
4,2.03237,3.87696,3.5775,5.91461,4.81561,6.10691,6.14589,7.19612,4.24785,2.71914,3.8163,5.95748,1.24135,2.85648,7.35308,3.95703,4.01217,3.97474,5.78442,5.77462,5.33646,3.49215,2.95838,2.7805,6.49663,5.95778,0.460445,5.64276,6.05924,5.29874,6.13825,3.73835,6.31537,4.24007,5.65067,4.26128,4.28893,2.98477,4.85644,6.57078,3.05587,5.49169,3.54188,2.70138,7.33291,0.414252,3.18866,3.52957,4.43567,0.547329,5.04783,4.37393,3.60087,2.98902,5.31734,6.83692,5.3224,2.18244,3.8719,5.47819,5.65425,4.26654,6.24653,6.98804,6.2262,4.43387,6.43596,6.49287,2.85125,3.59321,4.98047,7.20818,7.02796,4.46346,6.17722,6.13926,5.16698,3.0611,2.95367,7.24714,6.8661,1.89083,6.14139,5.80375,5.83475,6.12109,6.04435,6.31456,4.36151,3.94169,2.89355,5.29965,3.26095,3.64053,4.41103,1.38436,4.61473,2.49872,5.81972,3.59923,4.34478,3.21143,2.61763,4.05961,3.14733,5.83794,3.62181,2.12268,5.59797,4.2887,1.261,6.89866,2.65034,4.25522,3.071,5.40516,7.3036,5.69486,6.57585,5.60056,4.14491,6.36739,4.32404,6.73845,4.64721,3.26106,3.04072,7.2686,5.68262,2.99295,4.74548,5.67147,3.97284,5.73946,2.44407,2.88495,6.29501,7.62448,5.8388,5.30272,5.94512,3.02225,4.90007,3.82395,6.96586,5.65109,3.26647,4.43325,4.28207,6.0501,5.64773,3.86895,5.54066,5.13437,6.74349,5.33724,5.79941,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,5.2133,5.49102,6.10799,3.41404,3.74456,3.21341,4.41541,5.75117,5.74171,6.87823,3.7323,4.043,6.38861,3.64636,6.43014,5.19554,6.08299,7.57188,4.27195,6.18093,2.76535,2.73081,3.15156,3.60513,6.02247,2.86282,2.92472,4.22757,3.92718,3.97264,6.42632,3.06302,4.02299,5.69658,5.57672,5.2256,2.73003,3.59154,5.0337,2.73914,3.15878,3.98144,2.61905,2.61103,5.45529,3.78909,5.40319,4.05294,3.82136,3.25081,0.718494,5.82533,4.33047,6.06968,3.64673,1.58282,5.32745,5.63687,5.99588,3.9228
5,1.67251,3.68074,3.42444,5.80673,4.68403,5.94807,6.01935,7.02703,3.70619,2.62058,3.4331,5.89393,0.818442,2.5493,7.14994,3.72428,3.71264,3.57495,5.7302,5.77462,4.90518,3.39557,2.95838,2.7805,6.28781,5.75221,0.428325,5.64276,5.88816,4.85881,6.13825,3.73835,5.83527,4.24007,5.65067,4.16684,4.17374,2.68289,4.46338,6.47178,3.02213,5.33164,3.18934,2.70138,7.33291,0.414252,3.14144,3.36061,4.43567,0.451287,4.6404,4.20654,3.25962,2.6172,4.95532,6.68938,5.15097,1.72948,3.66285,5.47819,5.65425,4.25926,6.18823,6.73695,6.12683,3.87682,6.43596,6.20639,2.62781,3.59321,4.65383,7.20818,6.84065,4.35508,6.17722,6.13926,4.89436,3.0611,2.95367,7.0776,6.64971,1.27139,6.09629,5.61383,5.5756,6.02432,5.88272,6.18546,4.25007,3.73492,2.55003,5.07863,2.92353,3.49236,4.0327,0.939503,4.25454,2.15718,5.68572,3.59923,4.2213,2.85177,2.28902,3.47514,3.00502,5.83794,3.52012,1.71578,5.49411,4.12249,1.05669,6.57072,2.65034,4.15373,3.071,5.19212,7.3036,5.43393,6.45562,5.60056,4.14491,5.90039,4.32404,6.60707,4.60257,2.942,3.03551,7.04297,5.65731,2.5179,4.61138,5.66635,3.97284,5.55117,2.0763,2.66544,6.15961,7.54014,5.8388,4.96805,5.77325,2.96605,4.58437,3.33029,6.96586,5.4791,3.26647,4.30978,4.08585,5.91703,5.64773,3.74778,5.54066,4.84994,6.4923,5.07615,5.65663,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,4.83108,5.33067,5.9468,3.39189,3.74456,3.00541,3.93972,5.48748,5.69562,6.87823,3.7323,3.9012,6.38861,3.3195,6.43014,4.96735,5.9167,7.45725,3.88005,6.02296,2.60341,2.39608,2.7124,3.60513,6.02247,2.61598,2.79863,3.72228,3.73988,3.97264,6.42632,2.89484,3.91524,5.69658,5.57672,5.2256,2.46971,3.59154,4.89247,2.73914,2.77487,3.80629,2.61887,2.61103,5.24518,3.67554,5.40319,3.85512,3.74427,3.13704,0.509827,5.65694,4.33047,5.83889,3.64673,1.40887,4.71954,5.43247,5.79014,3.71627
6,1.35451,3.46474,3.22623,5.75289,4.57971,5.73221,5.85983,6.7446,3.19802,2.33391,3.09831,5.75131,0.466264,2.40807,6.89819,3.66071,3.46849,3.32155,5.63958,5.77462,4.55294,3.21859,2.95838,2.7805,6.11797,5.50253,0.428325,5.64276,5.71896,4.49067,6.13825,3.73835,5.26584,4.24007,5.65067,3.96851,3.96492,2.37335,3.95044,6.34095,2.82919,5.12559,2.88642,2.70138,7.33291,0.414252,2.92324,3.34405,4.43567,0.450512,4.14626,4.0008,2.8376,2.08319,4.66246,6.54042,5.00639,1.21857,3.37802,5.47819,5.65425,4.11594,6.01443,6.43934,5.89862,3.38877,6.31077,5.89614,2.34884,3.59321,4.23652,7.20818,6.66862,4.16042,6.17722,6.13926,4.51568,3.0611,2.95367,6.87811,6.40857,1.14848,5.88085,5.2957,5.25362,5.90413,5.6865,6.15782,4.05327,3.5003,1.97305,4.80511,2.71029,3.35211,3.64678,0.532479,3.86608,1.61372,5.52501,3.59923,4.06007,2.58243,1.69286,2.96707,2.80074,5.83794,3.25133,1.33345,5.33496,4.11221,0.824115,6.15675,2.65034,3.98265,3.071,4.95811,7.3036,5.20053,6.26791,5.60056,4.14491,5.34203,4.32404,6.48397,4.57809,2.75539,3.03551,6.7621,5.59633,1.97806,4.47152,5.65772,3.97284,5.24518,1.63002,2.3936,5.9926,7.37824,5.8388,4.57472,5.45419,2.96605,4.21936,2.98454,6.96586,5.28767,3.25767,4.15084,4.05499,5.75423,5.52643,3.61233,5.54066,4.66668,6.21193,4.60044,5.44451,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,4.50928,5.11516,5.72615,3.28791,3.74456,2.98201,3.50841,5.3801,5.60527,6.87823,3.7323,3.81466,6.36432,2.91771,6.43014,4.77071,5.78334,7.30719,3.48138,5.82772,2.59235,2.19448,2.1874,3.60513,6.02247,2.28854,2.79686,3.53428,3.58172,3.75762,6.42632,2.65293,3.69113,5.69658,5.57672,5.2256,2.15128,3.59154,4.75471,2.73914,2.69809,3.74285,2.61887,2.61103,5.00636,3.67554,5.40319,3.57294,3.74427,3.0824,0.273247,5.49254,4.1873,5.58622,3.64673,0.992638,4.41414,5.16922,5.53863,3.70894
7,0.945024,3.26051,2.97155,5.70204,4.46966,5.51773,5.66338,6.39291,2.84979,2.12326,2.84589,5.58623,0.466264,2.08202,6.58505,3.33355,3.30112,2.97831,5.51233,5.77462,3.98319,2.99721,2.95838,2.7805,5.91673,5.20023,0.404212,5.64276,5.55318,4.25031,6.13825,3.73835,4.6554,4.24007,5.65067,3.7322,3.7468,2.00431,3.38919,6.22875,2.82919,4.85739,2.62367,2.70138,7.33291,0.350553,2.70467,3.33732,4.43567,0.442735,3.62714,3.75246,2.32348,1.76916,4.47208,6.39008,4.88622,0.77723,3.14122,5.47819,5.64091,3.95104,5.8325,6.09406,5.66093,3.0805,6.12614,5.577,1.99802,3.59321,3.85039,7.20818,6.50219,3.97532,6.17722,6.13926,4.12665,3.0611,2.95367,6.64799,6.14677,0.825734,5.6114,4.85712,4.99547,5.76012,5.45266,5.99092,3.90588,3.29799,1.48292,4.45555,2.61207,3.24054,3.26269,0.22705,3.34502,1.02296,5.34845,3.59923,3.92899,2.55342,1.32762,2.78512,2.5577,5.83794,3.07418,0.808932,5.11237,4.11221,0.518722,5.83848,2.65034,3.81851,3.071,4.70716,7.3036,5.00824,6.07628,5.60056,4.14491,4.73457,4.32404,6.36616,4.53548,2.75539,3.03551,6.41116,5.48388,1.78796,4.3283,5.5952,3.97284,4.83435,0.983627,2.04807,5.78508,7.17553,5.8388,4.08137,5.05086,2.96605,3.80321,2.73977,6.96586,5.07816,3.25767,3.95797,3.85725,5.56151,5.32287,3.34889,5.54066,4.31121,5.90956,4.09861,5.18224,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,4.22195,4.96698,5.49977,3.27937,3.74456,2.74671,3.13153,5.07028,5.46642,6.87823,3.7323,3.55814,6.20299,2.65092,6.43014,4.65212,5.63203,7.12146,3.09218,5.58962,2.59235,2.15358,1.69809,3.60513,6.02247,1.926,2.79063,3.16243,3.45414,3.75762,6.42632,2.33883,3.51344,5.69658,5.57672,5.2256,1.90036,3.59154,4.61798,2.73914,2.66773,3.59172,2.61887,2.61103,4.71407,3.67554,5.40319,3.22674,3.74427,3.0824,0.121282,5.33303,3.98737,5.35647,3.64673,0.62888,3.96961,4.84741,5.42651,3.56238
8,0.81967,3.11261,2.60346,5.5732,4.37576,5.14838,5.65248,5.96122,2.82998,1.72608,2.70323,5.39894,0.31299,1.70628,6.19713,3.02407,3.29433,2.79798,5.34881,5.77462,3.46457,2.91772,2.95838,2.7805,5.7192,4.92452,0.214483,5.61022,5.40737,4.16113,6.13825,3.73835,4.10059,4.24007,5.65067,3.4585,3.45331,1.5803,2.91908,6.1722,2.82919,4.52849,2.60162,2.70138,7.16926,0.320067,2.58711,3.33732,4.43567,0.219954,3.15914,3.45125,1.89919,1.31434,4.35582,6.23841,4.78423,0.435511,3.05256,5.47819,5.54603,3.83774,5.62276,5.70935,5.31985,2.78109,5.89625,5.27157,1.60527,3.59321,3.42171,7.20818,6.33703,3.80349,6.08661,6.13926,3.71685,3.0611,2.95367,6.3878,5.8725,0.74819,5.27091,4.33934,4.68,5.59229,5.22683,5.80249,3.73638,3.00168,0.948916,4.07468,2.61207,3.12376,2.89055,0.193434,2.98156,0.687636,5.15963,3.59923,3.80285,2.44344,1.17869,2.72,2.26199,5.83794,2.85043,0.708621,4.84313,4.11221,0.264652,5.29007,2.65034,3.66253,3.071,4.44648,7.3036,4.86344,5.88459,5.60056,4.14491,4.16888,4.32404,6.2501,4.46767,2.75539,3.03551,6.16054,5.32033,1.52161,4.18025,5.48345,3.97284,4.39356,0.696539,1.66306,5.53121,6.92295,5.8388,3.64496,4.66074,2.96605,3.39223,2.73977,6.96586,4.85329,3.23558,3.73004,3.68369,5.33797,5.08802,3.16107,5.47632,3.95109,5.5994,3.65817,4.83089,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,3.87841,4.82174,5.16797,3.22319,3.74456,2.74671,2.83627,4.75168,5.28314,6.87823,3.7323,3.27944,6.09808,2.16932,6.42113,4.50445,5.46267,6.89699,2.79897,5.35168,2.59235,1.75366,1.15991,3.60513,5.93042,1.52999,2.79063,2.92982,3.37648,3.75762,6.40935,1.98671,3.33027,5.69658,5.57672,5.2256,1.50698,3.59154,4.47983,2.73914,2.66773,3.45085,2.61887,2.61103,4.36758,3.67554,5.40319,2.79972,3.74427,3.0824,0.121282,5.09924,3.74785,5.09948,3.64673,0.535064,3.68372,4.48228,5.08474,3.45979
9,0.485622,2.84773,2.17551,5.5493,4.24898,4.85688,5.42182,5.45465,2.82998,1.30725,2.65116,5.19021,0.227456,1.29095,5.72967,2.68073,3.29433,2.70506,5.13891,5.77462,3.10343,2.69768,2.95838,2.7805,5.53052,4.54156,0.142794,5.43636,5.25063,4.16113,6.13825,3.73835,3.71795,4.24007,5.65067,3.13106,3.13814,1.37478,2.7497,5.9752,2.82919,4.13618,2.60162,2.70138,6.9547,0.204905,2.32439,3.33732,4.41617,0.215923,3.09895,3.0927,1.40202,0.866178,4.35582,6.08548,4.69207,0.32463,2.74986,5.47819,5.4019,3.69497,5.41215,5.30861,4.90686,2.59799,5.65033,5.00611,1.49883,3.59321,3.18485,7.15805,6.16923,3.64737,5.86334,6.13926,3.27107,3.0611,2.95367,6.10149,5.59864,0.379253,4.8431,3.93222,4.19622,5.40083,4.98932,5.662,3.43142,2.68366,0.587542,3.67195,2.61207,3.0568,2.68253,0.182319,2.72432,0.274156,4.86616,3.59923,3.65682,2.37854,0.967856,2.72,1.91034,5.83794,2.72458,0.449765,4.51829,4.11221,0.201257,4.70851,2.65034,3.51545,3.071,4.30704,7.18543,4.76309,5.69696,5.60056,4.14491,3.76104,4.32404,6.13907,4.37039,2.75539,3.03551,5.69981,5.10476,1.08852,4.02652,5.3222,3.97284,3.9984,0.432041,1.2382,5.22052,6.60568,5.8388,3.2423,4.13431,2.96605,3.02013,2.73977,6.96586,4.69622,3.15474,3.52227,3.53775,5.08305,4.80617,2.82471,5.28466,3.62067,5.30252,3.45697,4.49818,3.67706,5.71685,5.69058,3.82394,5.16026,6.05191,2.88361,4.25356,3.47172,4.67785,4.8979,3.11832,3.74456,2.74671,2.68953,4.40897,5.05605,6.87823,3.7323,3.06692,5.94166,1.90361,6.26376,4.29187,5.27583,6.62894,2.62481,5.02929,2.59235,1.32081,0.782225,3.60513,5.76695,1.2388,2.79063,2.92982,3.34326,3.75762,6.25389,1.57519,3.03244,5.69658,5.57672,5.04449,1.08818,3.59154,4.37974,2.73914,2.66773,3.35444,2.61887,2.61103,3.98255,3.67554,5.40319,2.51036,3.74427,3.0824,0.121282,4.96544,3.66307,4.62852,3.64673,0.3456,3.64508,4.10247,4.67183,3.41256
