Geracao,ID_particula,Dimensao 1,Dimensao 2,Fitness
0,0,1.63681,0.783502,6.44424
0,1,-1.93748,1.35842,7.24792
0,2,0.960438,1.04604,3.73547
0,3,-0.875623,-0.387949,4.27752
0,4,1.58017,-1.64487,7.75767
0,5,1.62438,-0.296455,6.27613
0,6,0.0209403,0.87424,2.71099
0,7,-0.0262315,-0.291058,2.08654
0,8,0.855751,-0.342745,4.12911
0,9,-0.488461,1.06633,4.81579
0,10,-1.45442,1.02156,6.14744
0,11,-0.495139,-0.504391,4.25272
0,12,1.40436,1.66353,7.50698
0,13,-1.89061,1.23973,6.67137
0,14,-1.2751,0.110548,4.67213
0,15,1.48972,0.793119,6.27079
0,16,0.830104,-1.80591,6.1073
0,17,0.14774,-1.01274,3.19222
0,18,-1.03756,0.121689,3.13259
0,19,-1.61066,-0.252421,6.16052
0,20,0.582891,1.84246,6.64813
0,21,0.815822,1.53635,6.32872
0,22,-0.235567,-1.29893,5.22491
0,23,1.09135,-1.43816,6.26681
0,24,-0.657931,1.1352,5.04701
0,25,-1.00473,0.413462,4.49232
0,26,1.08572,1.26241,5.43706
0,27,-1.9437,-0.320202,6.29001
0,28,-1.15011,1.7962,6.37843
0,29,-0.998077,0.60988,4.64617
0,30,0.396555,1.33139,5.75978
0,31,-0.981906,1.63085,6.26934
0,32,-1.48581,1.81687,7.62221
0,33,0.547364,-0.06172,3.23217
0,34,0.789763,-0.135769,3.28894
0,35,1.39745,0.590851,6.14027
0,36,-1.07071,1.29812,5.60045
0,37,-0.317068,-0.54713,3.92401
0,38,-0.696182,-1.61792,6.54233
0,39,-1.16733,-1.45378,6.55991
0,40,-0.336409,0.462867,3.79812
0,41,1.11078,0.426796,4.87836
0,42,-0.705351,0.177623,3.58875
0,43,0.359349,1.36189,5.80336
0,44,-0.244739,-0.590717,3.78009
0,45,1.49352,-0.794819,6.27689
0,46,-1.5022,-0.394585,6.25337
0,47,1.12904,-0.293915,4.52873
0,48,1.62912,-1.4041,7.49393
0,49,-0.0477208,-0.310354,2.24708
0,50,-0.537867,-0.381134,4.07234
0,51,0.224454,-1.2172,4.72992
0,52,-1.49349,-0.812047,6.25845
0,53,-0.273655,1.39696,5.74197
0,54,1.51083,-0.344944,6.19591
0,55,-1.74911,-1.70993,7.68657
0,56,0.66607,-1.87349,6.51712
0,57,-1.1146,-1.23204,5.36559
0,58,-0.3575,-1.65762,6.42669
0,59,0.341307,0.711015,4.15385
0,60,1.60267,0.846043,6.34933
0,61,-1.76442,-0.0686649,5.49007
0,62,-1.3245,-0.755201,5.78627
0,63,-1.47617,1.9008,7.57258
0,64,1.29965,0.284708,5.37878
0,65,0.92969,1.36402,5.75068
0,66,0.912404,-0.772869,4.18483
0,67,-0.391921,0.902491,4.29609
0,68,0.449393,0.0088653,2.92545
