Geracao,ID_particula,Dimensao 1,Dimensao 2,Fitness
0,0,-0.038552,1.76791,5.42485
0,1,-1.04273,-1.83626,5.78574
0,2,-1.24633,0.736725,5.45093
0,3,1.92282,1.64216,7.59366
0,4,-1.79739,-1.30136,7.11708
0,5,-1.11078,1.87284,5.93901
0,6,-0.913066,-0.79226,4.1132
0,7,-1.90735,1.40905,7.4196
0,8,-1.93981,-1.89768,6.71791
0,9,-1.38925,0.241882,5.63536
0,10,0.717319,1.44483,6.23353
0,11,-1.3303,-1.0849,5.82132
0,12,-1.57328,-0.905362,6.27955
0,13,-0.816824,0.0852164,3.02649
0,14,0.652759,0.359314,4.17187
0,15,1.50483,1.75266,7.68039
0,16,1.08922,-1.32271,5.79723
0,17,1.75088,0.752252,6.43314
0,18,-1.69765,0.812001,6.36277
0,19,1.79472,1.62971,7.70802
0,20,0.623711,-0.286243,3.94265
0,21,-0.553042,-0.82031,4.55754
0,22,1.67699,1.41629,7.53552
0,23,0.89667,1.55982,6.27595
0,24,1.70677,0.698907,6.56317
0,25,-0.521354,0.479893,4.25433
0,26,0.285523,-1.67007,6.27586
0,27,0.792377,-1.35452,5.85827
0,28,-1.97301,0.86438,5.69524
0,29,-0.663629,0.756516,4.58298
0,30,1.75762,-1.83595,7.4325
0,31,1.51101,-1.57885,7.64442
0,32,-0.387424,0.673171,4.25657
0,33,0.166822,1.49516,5.77261
0,34,0.910767,1.80457,5.88425
0,35,-1.22332,0.229928,4.78888
0,36,1.68078,-1.62694,7.78026
0,37,0.718861,0.313643,4.07115
0,38,-1.41371,-0.349904,5.95518
0,39,-0.998082,0.00443146,2.63347
0,40,-0.174185,-1.212,4.48274
0,41,0.357348,-1.21461,5.17992
0,42,-0.0563181,0.850116,2.84338
0,43,1.22393,0.916718,4.93473
0,44,0.895578,-1.34247,5.66986
0,45,0.890778,0.862488,3.89795
0,46,-0.959673,0.495144,4.56646
0,47,0.618383,-1.76263,6.64126
0,48,0.22991,-1.61544,6.10711
0,49,0.312257,-0.610009,4.00338
0,50,1.1682,-1.24995,5.73757
0,51,1.027,-0.855618,3.93587
0,52,0.43922,0.0475756,2.91567
0,53,-0.0169038,-1.72451,5.52879
0,54,0.911161,1.17475,4.59165
0,55,-1.67662,0.612932,6.63266
0,56,-1.72886,0.444608,6.59549
0,57,-1.52877,1.68455,7.71939
0,58,-1.63917,1.48068,7.64259
0,59,-1.61793,0.220406,6.08382
0,60,1.42017,-1.46426,7.33399
0,61,-1.39775,-0.725273,6.09095
0,62,1.62516,1.50156,7.66599
0,63,-1.19806,0.0353507,3.92486
0,64,1.83054,-1.52322,7.65999
0,65,-1.58539,1.14838,6.67832
0,66,0.0909152,0.826936,3.01683
0,67,0.629378,1.56754,6.51855
0,68,1.41823,-1.78713,7.50752
0,69,-1.51882,-0.89395,6.22867
0,70,-0.366997,-1.83682,6.44573
0,71,-1.79734,0.250053,6.08757
0,72,-1.58417,-0.523642,6.52594
0,73,-1.13361,-1.03733,4.35357
0,74,1.6473,-0.021547,5.65998
0,75,0.608214,1.42599,6.22219
0,76,0.944464,-1.08183,3.92176
0,77,0.284836,-0.666742,3.96854
0,78,-1.74383,0.69785,6.54879
0,79,-1.13801,1.84382,6.17196
0,80,1.75573,-0.902783,6.05696
0,81,-0.312667,-1.90473,6.24842
0,82,-0.387389,-0.440728,3.88169
0,83,-1.70905,-1.66394,7.76409
0,84,-0.493105,-0.624584,4.42134
0,85,-0.444798,0.591418,4.29489
0,86,-0.816589,0.633228,4.56085
0,87,0.447833,0.372244,3.85929
0,88,-0.906939,0.157809,3.16469
0,89,-0.732612,1.06201,4.55012
0,90,-0.0191607,0.077375,0.386466
0,91,-1.2179,-0.341111,5.1508
0,92,-1.63952,0.632613,6.60041
0,93,-0.55609,0.690332,4.55394
0,94,-0.173354,0.764066,3.49847
0,95,-1.55228,-1.82376,7.68527
0,96,1.7398,1.09924,6.31522
0,97,-1.414,-0.197024,5.60789
